SessionID,DateKey,OperatingRoomID,DepartmentID,SessionType,PlannedStartDateTime,PlannedEndDateTime,PlannedMinutes,AvailableMinutes,IsEmergencySession
SES000001,20220101,OR09,D01,Emergency,2022-01-01 08:00:00,2022-01-01 17:00:00,540,510,1
SES000002,20220102,OR09,D02,Emergency,2022-01-02 08:00:00,2022-01-02 17:00:00,540,510,1
SES000003,20220102,OR10,D06,Full Day,2022-01-02 08:00:00,2022-01-02 17:00:00,540,510,0
SES000004,20220103,OR01,D01,Afternoon,2022-01-03 13:00:00,2022-01-03 17:00:00,240,225,0
SES000005,20220103,OR02,D01,Full Day,2022-01-03 08:00:00,2022-01-03 17:00:00,540,510,0
SES000006,20220103,OR03,D04,Full Day,2022-01-03 08:00:00,2022-01-03 17:00:00,540,510,0
SES000007,20220103,OR04,D02,Full Day,2022-01-03 08:00:00,2022-01-03 17:00:00,540,510,0
SES000008,20220103,OR05,D05,Full Day,2022-01-03 08:00:00,2022-01-03 17:00:00,540,510,0
SES000009,20220103,OR06,D05,Full Day,2022-01-03 08:00:00,2022-01-03 17:00:00,540,510,0
SES000010,20220103,OR07,D01,Morning,2022-01-03 08:00:00,2022-01-03 12:30:00,270,250,0
SES000011,20220103,OR08,D06,Morning,2022-01-03 08:00:00,2022-01-03 12:30:00,270,250,0
SES000012,20220103,OR09,D03,Emergency,2022-01-03 08:00:00,2022-01-03 17:00:00,540,510,1
SES000013,20220103,OR10,D10,Full Day,2022-01-03 08:00:00,2022-01-03 17:00:00,540,510,0
SES000014,20220103,OR11,D01,Full Day,2022-01-03 08:00:00,2022-01-03 17:00:00,540,510,0
SES000015,20220103,OR12,D08,Full Day,2022-01-03 08:00:00,2022-01-03 17:00:00,540,510,0
SES000016,20220104,OR01,D08,Full Day,2022-01-04 08:00:00,2022-01-04 17:00:00,540,510,0
SES000017,20220104,OR02,D05,Full Day,2022-01-04 08:00:00,2022-01-04 17:00:00,540,510,0
SES000018,20220104,OR03,D03,Afternoon,2022-01-04 13:00:00,2022-01-04 17:00:00,240,225,0
SES000019,20220104,OR04,D08,Full Day,2022-01-04 08:00:00,2022-01-04 17:00:00,540,510,0
SES000020,20220104,OR05,D09,Full Day,2022-01-04 08:00:00,2022-01-04 17:00:00,540,510,0
SES000021,20220104,OR06,D06,Full Day,2022-01-04 08:00:00,2022-01-04 17:00:00,540,510,0
SES000022,20220104,OR07,D02,Full Day,2022-01-04 08:00:00,2022-01-04 17:00:00,540,510,0
SES000023,20220104,OR08,D01,Full Day,2022-01-04 08:00:00,2022-01-04 17:00:00,540,510,0
SES000024,20220104,OR09,D02,Emergency,2022-01-04 08:00:00,2022-01-04 17:00:00,540,510,1
SES000025,20220104,OR10,D02,Full Day,2022-01-04 08:00:00,2022-01-04 17:00:00,540,510,0
SES000026,20220104,OR11,D03,Full Day,2022-01-04 08:00:00,2022-01-04 17:00:00,540,510,0
SES000027,20220104,OR12,D02,Full Day,2022-01-04 08:00:00,2022-01-04 17:00:00,540,510,0
SES000028,20220105,OR01,D10,Full Day,2022-01-05 08:00:00,2022-01-05 17:00:00,540,510,0
SES000029,20220105,OR02,D06,Full Day,2022-01-05 08:00:00,2022-01-05 17:00:00,540,510,0
SES000030,20220105,OR03,D06,Full Day,2022-01-05 08:00:00,2022-01-05 17:00:00,540,510,0
SES000031,20220105,OR04,D03,Full Day,2022-01-05 08:00:00,2022-01-05 17:00:00,540,510,0
SES000032,20220105,OR05,D06,Afternoon,2022-01-05 13:00:00,2022-01-05 17:00:00,240,225,0
SES000033,20220105,OR06,D06,Full Day,2022-01-05 08:00:00,2022-01-05 17:00:00,540,510,0
SES000034,20220105,OR07,D07,Morning,2022-01-05 08:00:00,2022-01-05 12:30:00,270,250,0
SES000035,20220105,OR08,D01,Full Day,2022-01-05 08:00:00,2022-01-05 17:00:00,540,510,0
SES000036,20220105,OR09,D03,Emergency,2022-01-05 08:00:00,2022-01-05 17:00:00,540,510,1
SES000037,20220105,OR10,D02,Full Day,2022-01-05 08:00:00,2022-01-05 17:00:00,540,510,0
SES000038,20220105,OR11,D09,Afternoon,2022-01-05 13:00:00,2022-01-05 17:00:00,240,225,0
SES000039,20220105,OR12,D06,Full Day,2022-01-05 08:00:00,2022-01-05 17:00:00,540,510,0
SES000040,20220106,OR01,D09,Full Day,2022-01-06 08:00:00,2022-01-06 17:00:00,540,510,0
SES000041,20220106,OR02,D02,Full Day,2022-01-06 08:00:00,2022-01-06 17:00:00,540,510,0
SES000042,20220106,OR03,D05,Full Day,2022-01-06 08:00:00,2022-01-06 17:00:00,540,510,0
SES000043,20220106,OR04,D05,Full Day,2022-01-06 08:00:00,2022-01-06 17:00:00,540,510,0
SES000044,20220106,OR05,D03,Afternoon,2022-01-06 13:00:00,2022-01-06 17:00:00,240,225,0
SES000045,20220106,OR06,D10,Full Day,2022-01-06 08:00:00,2022-01-06 17:00:00,540,510,0
SES000046,20220106,OR07,D01,Full Day,2022-01-06 08:00:00,2022-01-06 17:00:00,540,510,0
SES000047,20220106,OR08,D01,Full Day,2022-01-06 08:00:00,2022-01-06 17:00:00,540,510,0
SES000048,20220106,OR09,D08,Emergency,2022-01-06 08:00:00,2022-01-06 17:00:00,540,510,1
SES000049,20220106,OR10,D04,Morning,2022-01-06 08:00:00,2022-01-06 12:30:00,270,250,0
SES000050,20220106,OR11,D03,Full Day,2022-01-06 08:00:00,2022-01-06 17:00:00,540,510,0
SES000051,20220106,OR12,D05,Afternoon,2022-01-06 13:00:00,2022-01-06 17:00:00,240,225,0
SES000052,20220107,OR01,D09,Afternoon,2022-01-07 13:00:00,2022-01-07 17:00:00,240,225,0
SES000053,20220107,OR02,D06,Full Day,2022-01-07 08:00:00,2022-01-07 17:00:00,540,510,0
SES000054,20220107,OR03,D05,Full Day,2022-01-07 08:00:00,2022-01-07 17:00:00,540,510,0
SES000055,20220107,OR04,D06,Full Day,2022-01-07 08:00:00,2022-01-07 17:00:00,540,510,0
SES000056,20220107,OR05,D04,Full Day,2022-01-07 08:00:00,2022-01-07 17:00:00,540,510,0
SES000057,20220107,OR06,D10,Full Day,2022-01-07 08:00:00,2022-01-07 17:00:00,540,510,0
SES000058,20220107,OR07,D02,Morning,2022-01-07 08:00:00,2022-01-07 12:30:00,270,250,0
SES000059,20220107,OR08,D02,Full Day,2022-01-07 08:00:00,2022-01-07 17:00:00,540,510,0
SES000060,20220107,OR09,D10,Emergency,2022-01-07 08:00:00,2022-01-07 17:00:00,540,510,1
SES000061,20220107,OR10,D02,Morning,2022-01-07 08:00:00,2022-01-07 12:30:00,270,250,0
SES000062,20220107,OR11,D06,Full Day,2022-01-07 08:00:00,2022-01-07 17:00:00,540,510,0
SES000063,20220107,OR12,D07,Full Day,2022-01-07 08:00:00,2022-01-07 17:00:00,540,510,0
SES000064,20220108,OR09,D09,Emergency,2022-01-08 08:00:00,2022-01-08 17:00:00,540,510,1
SES000065,20220109,OR09,D01,Emergency,2022-01-09 08:00:00,2022-01-09 17:00:00,540,510,1
SES000066,20220110,OR01,D01,Full Day,2022-01-10 08:00:00,2022-01-10 17:00:00,540,510,0
SES000067,20220110,OR02,D09,Afternoon,2022-01-10 13:00:00,2022-01-10 17:00:00,240,225,0
SES000068,20220110,OR03,D02,Morning,2022-01-10 08:00:00,2022-01-10 12:30:00,270,250,0
SES000069,20220110,OR04,D09,Full Day,2022-01-10 08:00:00,2022-01-10 17:00:00,540,510,0
SES000070,20220110,OR05,D01,Afternoon,2022-01-10 13:00:00,2022-01-10 17:00:00,240,225,0
SES000071,20220110,OR06,D01,Full Day,2022-01-10 08:00:00,2022-01-10 17:00:00,540,510,0
SES000072,20220110,OR07,D07,Full Day,2022-01-10 08:00:00,2022-01-10 17:00:00,540,510,0
SES000073,20220110,OR08,D04,Full Day,2022-01-10 08:00:00,2022-01-10 17:00:00,540,510,0
SES000074,20220110,OR09,D07,Emergency,2022-01-10 08:00:00,2022-01-10 17:00:00,540,510,1
SES000075,20220110,OR10,D09,Full Day,2022-01-10 08:00:00,2022-01-10 17:00:00,540,510,0
SES000076,20220110,OR11,D02,Full Day,2022-01-10 08:00:00,2022-01-10 17:00:00,540,510,0
SES000077,20220110,OR12,D06,Full Day,2022-01-10 08:00:00,2022-01-10 17:00:00,540,510,0
SES000078,20220111,OR01,D03,Full Day,2022-01-11 08:00:00,2022-01-11 17:00:00,540,510,0
SES000079,20220111,OR02,D06,Afternoon,2022-01-11 13:00:00,2022-01-11 17:00:00,240,225,0
SES000080,20220111,OR03,D04,Full Day,2022-01-11 08:00:00,2022-01-11 17:00:00,540,510,0
SES000081,20220111,OR04,D02,Full Day,2022-01-11 08:00:00,2022-01-11 17:00:00,540,510,0
SES000082,20220111,OR05,D05,Full Day,2022-01-11 08:00:00,2022-01-11 17:00:00,540,510,0
SES000083,20220111,OR06,D02,Full Day,2022-01-11 08:00:00,2022-01-11 17:00:00,540,510,0
SES000084,20220111,OR07,D06,Full Day,2022-01-11 08:00:00,2022-01-11 17:00:00,540,510,0
SES000085,20220111,OR08,D09,Full Day,2022-01-11 08:00:00,2022-01-11 17:00:00,540,510,0
SES000086,20220111,OR09,D09,Emergency,2022-01-11 08:00:00,2022-01-11 17:00:00,540,510,1
SES000087,20220111,OR10,D02,Full Day,2022-01-11 08:00:00,2022-01-11 17:00:00,540,510,0
SES000088,20220111,OR11,D02,Full Day,2022-01-11 08:00:00,2022-01-11 17:00:00,540,510,0
SES000089,20220111,OR12,D10,Full Day,2022-01-11 08:00:00,2022-01-11 17:00:00,540,510,0
SES000090,20220112,OR01,D04,Full Day,2022-01-12 08:00:00,2022-01-12 17:00:00,540,510,0
SES000091,20220112,OR02,D08,Morning,2022-01-12 08:00:00,2022-01-12 12:30:00,270,250,0
SES000092,20220112,OR03,D01,Full Day,2022-01-12 08:00:00,2022-01-12 17:00:00,540,510,0
SES000093,20220112,OR04,D04,Full Day,2022-01-12 08:00:00,2022-01-12 17:00:00,540,510,0
SES000094,20220112,OR05,D06,Full Day,2022-01-12 08:00:00,2022-01-12 17:00:00,540,510,0
