DateKey,Date,Year,Quarter,MonthNumber,MonthName,YearMonth,WeekNumber,WeekdayNumber,WeekdayName,IsWeekend,FinancialYear
20220101,2022-01-01,2022,Q1,1,January,2022-Jan,52,6,Saturday,1,FY2022
20220102,2022-01-02,2022,Q1,1,January,2022-Jan,52,7,Sunday,1,FY2022
20220103,2022-01-03,2022,Q1,1,January,2022-Jan,1,1,Monday,0,FY2022
20220104,2022-01-04,2022,Q1,1,January,2022-Jan,1,2,Tuesday,0,FY2022
20220105,2022-01-05,2022,Q1,1,January,2022-Jan,1,3,Wednesday,0,FY2022
20220106,2022-01-06,2022,Q1,1,January,2022-Jan,1,4,Thursday,0,FY2022
20220107,2022-01-07,2022,Q1,1,January,2022-Jan,1,5,Friday,0,FY2022
20220108,2022-01-08,2022,Q1,1,January,2022-Jan,1,6,Saturday,1,FY2022
20220109,2022-01-09,2022,Q1,1,January,2022-Jan,1,7,Sunday,1,FY2022
20220110,2022-01-10,2022,Q1,1,January,2022-Jan,2,1,Monday,0,FY2022
20220111,2022-01-11,2022,Q1,1,January,2022-Jan,2,2,Tuesday,0,FY2022
20220112,2022-01-12,2022,Q1,1,January,2022-Jan,2,3,Wednesday,0,FY2022
20220113,2022-01-13,2022,Q1,1,January,2022-Jan,2,4,Thursday,0,FY2022
20220114,2022-01-14,2022,Q1,1,January,2022-Jan,2,5,Friday,0,FY2022
20220115,2022-01-15,2022,Q1,1,January,2022-Jan,2,6,Saturday,1,FY2022
20220116,2022-01-16,2022,Q1,1,January,2022-Jan,2,7,Sunday,1,FY2022
20220117,2022-01-17,2022,Q1,1,January,2022-Jan,3,1,Monday,0,FY2022
20220118,2022-01-18,2022,Q1,1,January,2022-Jan,3,2,Tuesday,0,FY2022
20220119,2022-01-19,2022,Q1,1,January,2022-Jan,3,3,Wednesday,0,FY2022
20220120,2022-01-20,2022,Q1,1,January,2022-Jan,3,4,Thursday,0,FY2022
20220121,2022-01-21,2022,Q1,1,January,2022-Jan,3,5,Friday,0,FY2022
20220122,2022-01-22,2022,Q1,1,January,2022-Jan,3,6,Saturday,1,FY2022
20220123,2022-01-23,2022,Q1,1,January,2022-Jan,3,7,Sunday,1,FY2022
20220124,2022-01-24,2022,Q1,1,January,2022-Jan,4,1,Monday,0,FY2022
20220125,2022-01-25,2022,Q1,1,January,2022-Jan,4,2,Tuesday,0,FY2022
20220126,2022-01-26,2022,Q1,1,January,2022-Jan,4,3,Wednesday,0,FY2022
20220127,2022-01-27,2022,Q1,1,January,2022-Jan,4,4,Thursday,0,FY2022
20220128,2022-01-28,2022,Q1,1,January,2022-Jan,4,5,Friday,0,FY2022
20220129,2022-01-29,2022,Q1,1,January,2022-Jan,4,6,Saturday,1,FY2022
